@id,@type,rdfs:label
ndc9:027.4,skos:Concept,特種目録--叢書類目録および索引．論文集の目録および索引
ndc9:027.5,skos:Concept,特種目録--逐次刊行物目録および索引
ndc9:027.6,skos:Concept,特種目録--禁止図書目録．散佚図書目録．焼失図書目録
ndc9:027.7,skos:Concept,特種目録--図書展示目録
ndc9:027.8,skos:Concept,特種目録--その他：点本書目，舶載書目
ndc9:027.9,skos:Concept,特種目録--非図書資料目録：視聴覚資料目録，地図目録
ndc9:027.92,skos:Concept,特種目録--非図書資料目録：視聴覚資料目録，地図目録--点字図書目録．録音資料目録
ndc9:027.93,skos:Concept,特種目録--点字図書目録．録音資料目録--点字図書目録
ndc9:027.95,skos:Concept,特種目録--点字図書目録．録音資料目録--録音資料目録
ndc9:027.97,skos:Concept,特種目録--非図書資料目録：視聴覚資料目録，地図目録--フィルム目録．マイクロ資料目録
ndc9:028.09,skos:Concept,選定図書目録．参考図書目録--児童・青少年向けの図書目録
ndc9:028.093,skos:Concept,選定図書目録．参考図書目録--女性向けの図書目録
ndc9:029.1,skos:Concept,蔵書目録．総合目録--国立図書館
ndc9:029.2,skos:Concept,蔵書目録．総合目録--公共図書館
ndc9:029.3,skos:Concept,蔵書目録．総合目録--官公庁および地方議会図書館
ndc9:029.4,skos:Concept,蔵書目録．総合目録--団体・企業内の図書館
ndc9:029.5,skos:Concept,蔵書目録．総合目録--病院図書館．矯正図書館
ndc9:029.6,skos:Concept,蔵書目録．総合目録--専門図書館．研究所・調査機関の図書館
ndc9:029.7,skos:Concept,蔵書目録．総合目録--大学図書館．学校図書館
ndc9:029.8,skos:Concept,蔵書目録．総合目録--社寺文庫．旧藩文庫
ndc9:029.9,skos:Concept,蔵書目録．総合目録--個人文庫．家蔵
ndc9:031.2,skos:Concept,百科事典--日本語--類書
ndc9:031.3,skos:Concept,百科事典--日本語--日用便覧
ndc9:031.4,skos:Concept,百科事典--日本語--事物起原
ndc9:031.5,skos:Concept,百科事典--日本語--名数．番付
ndc9:031.7,skos:Concept,百科事典--日本語--クイズ集．なぞなぞ集
ndc9:031.8,skos:Concept,百科事典--日本語--簡易百科事典
ndc9:032.2,skos:Concept,百科事典--中国語--類書
ndc9:032.3,skos:Concept,百科事典--中国語--日用便覧
ndc9:032.4,skos:Concept,百科事典--中国語--事物起原
ndc9:032.5,skos:Concept,百科事典--中国語--名数．番付
ndc9:032.9,skos:Concept,百科事典--中国語--東洋の諸言語
ndc9:034.9,skos:Concept,百科事典--ドイツ語--その他のゲルマン諸語
ndc9:036.9,skos:Concept,百科事典--スペイン語--ポルトガル語
ndc9:038.9,skos:Concept,百科事典--ロシア語--その他のスラヴ語
ndc9:038.999,skos:Concept,百科事典--ロシア語--その他のスラヴ語--その他の諸言語
ndc9:041.3,skos:Concept,一般論文集．一般講演集--日本語--記念論文集
ndc9:051.1,skos:Concept,逐次刊行物--日本の雑誌--学術雑誌．紀要
ndc9:051.3,skos:Concept,逐次刊行物--日本の雑誌--総合雑誌
ndc9:051.4,skos:Concept,逐次刊行物--日本の雑誌--グラフィック報道誌
ndc9:051.6,skos:Concept,逐次刊行物--日本の雑誌--大衆誌．娯楽誌
ndc9:051.7,skos:Concept,逐次刊行物--日本の雑誌--女性誌．家庭誌
ndc9:051.8,skos:Concept,逐次刊行物--日本の雑誌--幼児誌．青少年誌
ndc9:051.9,skos:Concept,逐次刊行物--日本の雑誌--情報誌＜一般＞
ndc9:052.973,skos:Concept,（中国語--逐次刊行物 (ヘブライ語)）
ndc9:052.976,skos:Concept,（中国語--逐次刊行物 (アラビア語)）
ndc9:058.99937,skos:Concept,（ロシア語--逐次刊行物 (ハンガリー語)）
ndc9:069.1,skos:Concept,博物館--博物館行財政・法令
ndc9:069.2,skos:Concept,博物館--博物館建築．博物館設備
ndc9:069.3,skos:Concept,博物館--博物館管理．博物館職員
ndc9:069.4,skos:Concept,博物館--資料の収集．資料の整理．資料の保管
ndc9:069.5,skos:Concept,博物館--資料の展示．資料の利用．資料・展示の宣伝
ndc9:069.6,skos:Concept,博物館--一般博物館
ndc9:069.7,skos:Concept,博物館--学校博物館
ndc9:069.8,skos:Concept,博物館--専門博物館
ndc9:069.9,skos:Concept,博物館--博物館収集品目録・図録
